"Year","Discharge"
"1960","6650.658"
"1965","5045.769"
"1970","5469.4497"
"1975","4904.997"
"1980","6752.6523"
"1985","7484.3735"
"1990","7519.6396"
"1995","5429.9736"
"2000","6678.194"
"2005","8159.341"
"2010","6228.221"
"2015","7468.246"
"2020","8683.963"
"2025","7923.7344"
"2030","7590.6377"
"2035","7885.198"
"2040","7653.2236"
"2045","9246.9795"
"2050","8802.596"
"2055","7773.508"
"2060","9201.818"
"2065","10098.669"
"2070","9874.309"
"2075","9744.852"
"2080","8950.535"
"2085","9219.597"
"2090","9778.791"
"2095","9286.785"
"2100","8800.308"
