"Year","Discharge"
"1960","6650.658"
"1965","5045.769"
"1970","5469.4497"
"1975","4904.997"
"1980","6752.6523"
"1985","7484.3735"
"1990","7519.6396"
"1995","5429.9736"
"2000","6678.194"
"2005","8273.999"
"2010","7743.7607"
"2015","6700.6626"
"2020","5865.2734"
"2025","6565.0654"
"2030","7458.4673"
"2035","8930.948"
"2040","9131.065"
"2045","9009.7295"
"2050","9015.75"
"2055","9308.021"
"2060","10332.597"
"2065","11354.449"
"2070","10532.997"
"2075","9656.617"
"2080","10511.449"
"2085","10546.232"
"2090","10882.692"
"2095","12644.873"
"2100","15377.672"
