"Year","Discharge"
"1960","5113.3804"
"1965","6739.2256"
"1970","5859.766"
"1975","6780.7812"
"1980","6416.944"
"1985","6713.9194"
"1990","6158.5176"
"1995","5705.649"
"2000","6767.0977"
"2005","6850.422"
"2010","7707.495"
"2015","7240.9893"
"2020","6552.5586"
"2025","6918.2173"
"2030","7560.1143"
"2035","7645.271"
"2040","6090.855"
"2045","7354.682"
"2050","8153.005"
"2055","7090.6064"
"2060","8256.425"
"2065","8125.4126"
"2070","9480.581"
"2075","8405.724"
"2080","7055.55"
"2085","8078.5967"
"2090","7656.9946"
"2095","9601.56"
"2100","11138.508"
