"Year","Discharge"
"1960","7029.4824"
"1965","6503.4067"
"1970","6321.9453"
"1975","6241.897"
"1980","6176.41"
"1985","6265.025"
"1990","6910.1235"
"1995","6321.4834"
"2000","5481.8447"
"2005","6756.4014"
"2010","6379.294"
"2015","6833.4727"
"2020","6646.836"
"2025","6525.383"
"2030","7018.9844"
"2035","6175.8813"
"2040","6267.53"
"2045","6060.9194"
"2050","7291.595"
"2055","7076.427"
"2060","6236.2974"
"2065","6453.25"
"2070","6210.962"
"2075","8162.784"
"2080","6875.4053"
"2085","6738.755"
"2090","6688.052"
"2095","6182.237"
"2100","6269.9746"
