"Year","Discharge"
"1960","7029.4824"
"1965","6503.4067"
"1970","6321.9453"
"1975","6241.897"
"1980","6176.41"
"1985","6265.025"
"1990","6910.1235"
"1995","6321.4834"
"2000","5481.8447"
"2005","6763.569"
"2010","6549.2837"
"2015","6384.263"
"2020","6222.6396"
"2025","7362.4517"
"2030","6382.0376"
"2035","6413.88"
"2040","6764.9688"
"2045","6756.8687"
"2050","6993.224"
"2055","6228.223"
"2060","7677.921"
"2065","6692.172"
"2070","8054.165"
"2075","7937.589"
"2080","8201.254"
"2085","7434.12"
"2090","7740.9365"
"2095","9718.872"
"2100","8414.284"
