"Year","Discharge"
"1960","6744.7134"
"1965","6590.2563"
"1970","5754.9214"
"1975","6951.9844"
"1980","6869.4805"
"1985","5591.028"
"1990","6055.822"
"1995","5345.665"
"2000","6922.5483"
"2005","6385.491"
"2010","8059.732"
"2015","7917.2607"
"2020","7409.6045"
"2025","6436.2476"
"2030","8114.5312"
"2035","5660.7974"
"2040","5760.159"
"2045","6503.5522"
"2050","7010.0586"
"2055","6708.246"
"2060","8933.312"
"2065","7820.6104"
"2070","8380.119"
"2075","7603.8516"
"2080","8177.6123"
"2085","7637.9517"
"2090","7668.6143"
"2095","8065.505"
"2100","10159.272"
