"Year","Discharge"
"1960","5634.765"
"1965","5290.8213"
"1970","6428.4897"
"1975","6896.875"
"1980","6166.0464"
"1985","6197.3887"
"1990","5891.5464"
"1995","5394.9014"
"2000","7502.3867"
"2005","6628.8203"
"2010","5678.341"
"2015","6459.168"
"2020","5960.947"
"2025","7627.0264"
"2030","7260.4595"
"2035","7038.3374"
"2040","6734.0576"
"2045","6970.814"
"2050","8051.673"
"2055","7019.927"
"2060","7147.401"
"2065","6193.769"
"2070","6518.4307"
"2075","7608.061"
"2080","7055.3804"
"2085","7575.032"
"2090","7776.0967"
"2095","7398.936"
"2100","7586.5293"
