Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,345.310010,64.333483,145.437756,116.720610,111.434247,110.531738
2,174.922907,104.229566,162.500593,114.118301,133.251327,96.945613
3,101.997412,205.977550,258.614890,234.639057,211.596940,159.111733
4,79.321247,387.982976,939.664815,2036.619228,429.890386,830.208229
5,109.500867,804.652544,1517.072952,2489.570215,1371.752398,2227.119058
6,324.085469,2022.418553,2041.053709,2737.073065,3592.820699,3023.492667
7,1057.667596,2746.859009,3444.511305,1966.755265,3207.770249,2241.083847
8,2787.375636,2839.544965,2523.562956,1404.322564,2316.351106,2425.577581
9,4701.659949,4267.217702,3025.951609,1641.651945,2790.236235,2661.448536
10,4043.580343,2641.316857,1844.463735,3009.803640,1830.886512,2107.387769
11,1842.613455,250.936529,377.331620,561.074042,253.952312,433.654815
12,751.807776,90.573320,143.326335,119.953378,133.568982,114.949541
