Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,1586.103452,34.140411,0.000000,0.000000,0.000000,0.000000
2,1090.358479,60.219276,0.097655,0.017845,0.003002,0.000000
3,617.974400,263.115957,12.542606,24.537022,16.878309,6.170992
4,256.496697,885.016499,325.812015,782.047149,63.471073,497.590161
5,89.227411,2111.198941,1029.069451,1701.278102,513.600471,2253.773767
6,60.211400,3587.313292,1767.448048,2988.604570,3668.652127,4643.922901
7,250.994474,5148.326181,4786.466663,3409.720510,3992.009412,5452.456340
8,829.011688,6740.251799,4722.197387,2247.867291,3218.728948,4919.329258
9,1452.383532,8650.922689,4489.941478,1852.264324,3880.685862,5148.781903
10,1806.194400,4254.928793,1794.780333,1560.896991,1115.733630,2284.037378
11,1980.065329,466.519146,94.879804,71.668521,19.240424,178.105222
12,1939.919630,46.175096,0.009068,0.000000,5.589300,0.000000
